	Astrocyte	CGE	Chandelier	Endothelial	L2/3-6 IT	L5 ET	L5/6 NP	L6 CT	L6b	LAMP5	Microglia	OPC	Oligodendrocyte	PVALB	SNCG	SST	VIP	VLMC
0	0.14	0.01	0.03	0.04	0.28	0.01	0.1	0.04	0.08	0.0	0.03	0.03	0.01	0.0	0.02	0.04	0.12	0.02
1	0.0	0.0	0.02	0.0	0.1	0.0	0.0	0.0	0.0	0.03	0.0	0.01	0.0	0.03	0.0	0.79	0.02	0.0
2	0.01	0.05	0.04	0.02	0.2	0.12	0.02	0.09	0.03	0.03	0.01	0.05	0.01	0.16	0.0	0.0	0.03	0.13
3	0.05	0.0	0.08	0.05	0.34	0.01	0.0	0.02	0.03	0.09	0.0	0.0	0.0	0.05	0.08	0.14	0.04	0.02
4	0.03	0.06	0.0	0.02	0.28	0.02	0.07	0.1	0.12	0.01	0.02	0.04	0.04	0.01	0.0	0.02	0.15	0.01
5	0.09	0.0	0.05	0.0	0.3	0.0	0.0	0.21	0.05	0.04	0.01	0.06	0.01	0.01	0.02	0.02	0.06	0.07
6	0.02	0.03	0.06	0.0	0.4	0.11	0.0	0.02	0.03	0.07	0.0	0.02	0.03	0.06	0.01	0.05	0.06	0.03
7	0.0	0.01	0.04	0.0	0.0	0.0	0.0	0.0	0.01	0.48	0.0	0.0	0.01	0.01	0.24	0.15	0.05	0.0
8	0.04	0.0	0.01	0.0	0.06	0.01	0.0	0.06	0.02	0.0	0.16	0.02	0.52	0.01	0.0	0.0	0.05	0.04
9	0.15	0.06	0.07	0.01	0.11	0.03	0.0	0.01	0.01	0.01	0.07	0.11	0.27	0.0	0.01	0.01	0.07	0.0
10	0.05	0.0	0.01	0.02	0.07	0.01	0.0	0.01	0.01	0.0	0.06	0.08	0.57	0.01	0.0	0.04	0.06	0.0
11	0.08	0.0	0.01	0.01	0.15	0.03	0.03	0.03	0.03	0.01	0.14	0.04	0.26	0.0	0.0	0.03	0.07	0.08
12	0.01	0.01	0.11	0.01	0.03	0.0	0.0	0.01	0.0	0.06	0.0	0.06	0.01	0.6	0.0	0.04	0.04	0.01
13	0.0	0.03	0.07	0.01	0.04	0.06	0.01	0.01	0.02	0.07	0.0	0.07	0.02	0.38	0.02	0.08	0.04	0.07
14	0.03	0.0	0.01	0.0	0.04	0.01	0.0	0.0	0.0	0.0	0.1	0.03	0.72	0.01	0.0	0.02	0.02	0.01
15	0.09	0.0	0.09	0.06	0.32	0.02	0.09	0.02	0.03	0.01	0.0	0.0	0.01	0.0	0.07	0.05	0.08	0.06
16	0.01	0.01	0.07	0.0	0.22	0.02	0.0	0.25	0.09	0.0	0.07	0.01	0.07	0.05	0.02	0.06	0.04	0.01
17	0.03	0.02	0.04	0.0	0.03	0.01	0.01	0.0	0.01	0.0	0.03	0.08	0.63	0.01	0.0	0.03	0.07	0.0
18	0.01	0.01	0.04	0.05	0.22	0.03	0.02	0.22	0.13	0.0	0.01	0.05	0.07	0.03	0.0	0.02	0.05	0.04
19	0.12	0.0	0.06	0.08	0.44	0.02	0.0	0.02	0.04	0.05	0.01	0.0	0.01	0.0	0.0	0.12	0.02	0.01
20	0.07	0.0	0.04	0.05	0.61	0.0	0.0	0.02	0.06	0.03	0.0	0.01	0.01	0.02	0.01	0.05	0.0	0.02
21	0.64	0.02	0.01	0.02	0.08	0.0	0.0	0.02	0.05	0.0	0.01	0.01	0.06	0.0	0.01	0.0	0.02	0.05
22	0.56	0.0	0.02	0.03	0.06	0.01	0.0	0.01	0.03	0.0	0.0	0.02	0.02	0.0	0.02	0.0	0.07	0.15
23	0.08	0.01	0.02	0.01	0.04	0.01	0.0	0.0	0.0	0.0	0.03	0.08	0.65	0.01	0.0	0.02	0.04	0.0
24	0.41	0.0	0.02	0.16	0.04	0.0	0.01	0.01	0.04	0.0	0.04	0.01	0.06	0.01	0.02	0.01	0.05	0.11
25	0.11	0.0	0.1	0.0	0.33	0.0	0.0	0.1	0.05	0.02	0.02	0.02	0.0	0.0	0.02	0.01	0.14	0.08
26	0.01	0.01	0.01	0.14	0.02	0.0	0.0	0.01	0.02	0.01	0.07	0.01	0.0	0.01	0.02	0.0	0.0	0.66
27	0.1	0.03	0.05	0.12	0.03	0.15	0.03	0.02	0.06	0.0	0.04	0.0	0.04	0.0	0.04	0.0	0.07	0.22
28	0.02	0.02	0.02	0.0	0.08	0.02	0.01	0.05	0.01	0.01	0.09	0.02	0.56	0.01	0.01	0.01	0.03	0.03
29	0.03	0.07	0.01	0.05	0.01	0.04	0.06	0.0	0.02	0.02	0.0	0.01	0.0	0.0	0.58	0.0	0.07	0.03
30	0.01	0.05	0.07	0.02	0.11	0.01	0.02	0.29	0.04	0.0	0.01	0.07	0.12	0.05	0.01	0.02	0.06	0.04
31	0.03	0.01	0.0	0.0	0.01	0.01	0.01	0.02	0.0	0.01	0.02	0.7	0.04	0.0	0.02	0.03	0.08	0.01
32	0.02	0.03	0.08	0.06	0.32	0.05	0.02	0.0	0.03	0.06	0.0	0.03	0.04	0.09	0.06	0.04	0.01	0.06
33	0.48	0.04	0.01	0.01	0.06	0.0	0.02	0.03	0.16	0.02	0.01	0.03	0.06	0.0	0.0	0.0	0.06	0.01
34	0.01	0.05	0.0	0.05	0.03	0.67	0.04	0.03	0.0	0.01	0.0	0.0	0.0	0.03	0.01	0.02	0.0	0.05
35	0.04	0.02	0.01	0.0	0.36	0.01	0.0	0.21	0.06	0.0	0.03	0.05	0.03	0.01	0.0	0.01	0.11	0.05
36	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.93	0.01	0.0	0.0	0.02	0.0
37	0.03	0.05	0.0	0.02	0.35	0.03	0.05	0.08	0.07	0.01	0.02	0.03	0.02	0.02	0.01	0.04	0.15	0.02
38	0.03	0.09	0.02	0.02	0.14	0.08	0.02	0.0	0.02	0.22	0.02	0.01	0.04	0.07	0.03	0.11	0.04	0.04
39	0.02	0.0	0.0	0.0	0.05	0.01	0.0	0.03	0.0	0.01	0.1	0.0	0.72	0.01	0.0	0.02	0.02	0.01
40	0.02	0.0	0.0	0.01	0.04	0.0	0.0	0.01	0.0	0.0	0.08	0.2	0.62	0.01	0.0	0.0	0.01	0.0
41	0.01	0.02	0.03	0.08	0.21	0.01	0.03	0.23	0.06	0.0	0.01	0.01	0.01	0.05	0.07	0.02	0.03	0.12
42	0.05	0.0	0.0	0.02	0.39	0.0	0.0	0.03	0.05	0.04	0.05	0.03	0.1	0.01	0.0	0.12	0.09	0.02
43	0.07	0.01	0.0	0.0	0.39	0.02	0.02	0.04	0.08	0.07	0.05	0.02	0.01	0.01	0.01	0.06	0.13	0.01
44	0.05	0.13	0.04	0.02	0.03	0.02	0.0	0.05	0.03	0.04	0.07	0.03	0.02	0.0	0.15	0.0	0.25	0.07
45	0.05	0.0	0.01	0.0	0.46	0.01	0.02	0.03	0.06	0.04	0.02	0.02	0.04	0.03	0.0	0.06	0.13	0.02
46	0.06	0.01	0.0	0.0	0.31	0.02	0.0	0.03	0.05	0.06	0.03	0.03	0.04	0.05	0.01	0.15	0.15	0.0
47	0.02	0.01	0.02	0.0	0.05	0.0	0.0	0.0	0.0	0.04	0.02	0.07	0.06	0.04	0.03	0.03	0.58	0.03
48	0.01	0.05	0.02	0.02	0.14	0.31	0.07	0.06	0.04	0.02	0.0	0.05	0.0	0.03	0.01	0.02	0.05	0.1
49	0.85	0.01	0.0	0.0	0.02	0.0	0.0	0.01	0.04	0.01	0.01	0.02	0.0	0.0	0.0	0.01	0.01	0.01
50	0.02	0.01	0.01	0.05	0.59	0.03	0.0	0.01	0.01	0.07	0.0	0.02	0.0	0.03	0.0	0.12	0.02	0.01
51	0.05	0.0	0.0	0.01	0.04	0.0	0.0	0.0	0.0	0.0	0.02	0.02	0.77	0.02	0.0	0.03	0.03	0.01
52	0.5	0.0	0.02	0.0	0.06	0.0	0.0	0.01	0.05	0.02	0.08	0.04	0.11	0.0	0.03	0.0	0.0	0.08
53	0.05	0.0	0.02	0.0	0.06	0.0	0.0	0.0	0.01	0.01	0.12	0.28	0.35	0.0	0.0	0.06	0.03	0.01
54	0.12	0.02	0.03	0.0	0.08	0.03	0.02	0.03	0.02	0.0	0.09	0.11	0.32	0.01	0.02	0.04	0.04	0.02
55	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.08	0.04	0.81	0.01	0.0	0.0	0.03	0.0
56	0.13	0.01	0.02	0.01	0.14	0.04	0.02	0.01	0.03	0.01	0.12	0.01	0.27	0.01	0.0	0.02	0.07	0.08
57	0.02	0.08	0.04	0.02	0.0	0.0	0.01	0.02	0.01	0.6	0.0	0.02	0.0	0.0	0.11	0.03	0.03	0.01
58	0.03	0.01	0.01	0.01	0.03	0.01	0.0	0.0	0.01	0.01	0.0	0.73	0.04	0.0	0.0	0.05	0.05	0.01
59	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.03	0.89	0.02	0.0	0.0	0.02	0.0
60	0.03	0.11	0.0	0.01	0.19	0.04	0.06	0.0	0.05	0.04	0.03	0.03	0.03	0.02	0.02	0.06	0.27	0.01
61	0.04	0.01	0.02	0.0	0.05	0.01	0.0	0.02	0.0	0.01	0.0	0.65	0.04	0.0	0.01	0.05	0.08	0.01
62	0.05	0.0	0.06	0.03	0.34	0.03	0.0	0.01	0.04	0.05	0.02	0.0	0.05	0.01	0.16	0.07	0.04	0.04
63	0.03	0.03	0.03	0.01	0.54	0.0	0.0	0.02	0.01	0.02	0.04	0.0	0.07	0.02	0.01	0.12	0.03	0.02
64	0.02	0.01	0.0	0.01	0.02	0.01	0.0	0.0	0.0	0.01	0.02	0.82	0.01	0.0	0.0	0.02	0.05	0.0
65	0.02	0.02	0.0	0.01	0.31	0.03	0.06	0.01	0.05	0.06	0.08	0.02	0.06	0.02	0.03	0.06	0.15	0.01
66	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.01	0.01	0.0	0.01	0.91	0.0	0.0	0.01	0.0	0.02	0.0
67	0.02	0.03	0.03	0.01	0.05	0.0	0.0	0.0	0.01	0.04	0.04	0.01	0.0	0.01	0.07	0.0	0.67	0.01
68	0.03	0.01	0.64	0.01	0.06	0.01	0.01	0.0	0.02	0.05	0.0	0.0	0.01	0.06	0.02	0.02	0.02	0.03
69	0.69	0.0	0.02	0.01	0.09	0.0	0.0	0.01	0.09	0.01	0.0	0.04	0.01	0.0	0.0	0.0	0.0	0.03
70	0.03	0.01	0.01	0.0	0.05	0.01	0.01	0.01	0.02	0.01	0.0	0.11	0.67	0.0	0.01	0.01	0.04	0.0
71	0.02	0.04	0.0	0.0	0.07	0.01	0.01	0.01	0.0	0.0	0.07	0.07	0.61	0.02	0.0	0.02	0.04	0.01
72	0.07	0.0	0.03	0.07	0.29	0.01	0.01	0.08	0.21	0.01	0.02	0.0	0.08	0.02	0.01	0.02	0.04	0.03
73	0.01	0.0	0.0	0.0	0.03	0.0	0.0	0.03	0.01	0.0	0.0	0.01	0.89	0.01	0.0	0.0	0.01	0.0
74	0.01	0.01	0.01	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.11	0.04	0.76	0.0	0.0	0.01	0.02	0.0
75	0.02	0.01	0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.88	0.03	0.0	0.0	0.0	0.03	0.0
76	0.0	0.0	0.0	0.01	0.03	0.0	0.0	0.03	0.02	0.0	0.03	0.05	0.8	0.01	0.0	0.01	0.01	0.0
77	0.15	0.04	0.06	0.03	0.16	0.0	0.07	0.13	0.02	0.01	0.01	0.1	0.0	0.0	0.01	0.01	0.12	0.08
78	0.03	0.01	0.01	0.01	0.06	0.01	0.01	0.0	0.01	0.0	0.05	0.04	0.71	0.0	0.0	0.02	0.02	0.01
79	0.05	0.05	0.02	0.01	0.38	0.05	0.01	0.08	0.08	0.04	0.01	0.07	0.02	0.02	0.03	0.03	0.04	0.01
80	0.09	0.05	0.07	0.01	0.23	0.04	0.04	0.03	0.03	0.01	0.02	0.01	0.1	0.01	0.02	0.06	0.14	0.04
81	0.0	0.05	0.02	0.02	0.27	0.1	0.04	0.09	0.05	0.01	0.0	0.06	0.02	0.07	0.04	0.05	0.04	0.07
82	0.03	0.02	0.03	0.03	0.18	0.06	0.06	0.22	0.07	0.0	0.01	0.07	0.0	0.01	0.0	0.05	0.07	0.09
83	0.03	0.08	0.01	0.03	0.05	0.02	0.0	0.01	0.05	0.03	0.03	0.06	0.04	0.03	0.11	0.21	0.16	0.05
84	0.04	0.01	0.0	0.01	0.39	0.02	0.0	0.07	0.07	0.04	0.01	0.02	0.04	0.01	0.02	0.16	0.08	0.01
85	0.01	0.07	0.05	0.02	0.24	0.14	0.02	0.08	0.07	0.04	0.01	0.06	0.0	0.03	0.02	0.04	0.03	0.07
86	0.01	0.01	0.0	0.12	0.34	0.06	0.04	0.06	0.06	0.05	0.02	0.08	0.02	0.02	0.0	0.02	0.01	0.08
87	0.02	0.02	0.02	0.0	0.07	0.03	0.01	0.02	0.01	0.02	0.09	0.1	0.45	0.03	0.01	0.03	0.04	0.03
88	0.05	0.01	0.02	0.0	0.07	0.01	0.01	0.0	0.01	0.01	0.07	0.02	0.63	0.0	0.01	0.01	0.04	0.03
89	0.05	0.09	0.0	0.01	0.11	0.06	0.09	0.02	0.05	0.02	0.04	0.03	0.04	0.0	0.07	0.05	0.24	0.03
90	0.02	0.08	0.0	0.01	0.23	0.04	0.07	0.06	0.04	0.05	0.07	0.04	0.05	0.0	0.02	0.06	0.14	0.02
91	0.04	0.12	0.06	0.01	0.24	0.03	0.01	0.03	0.04	0.01	0.05	0.01	0.14	0.01	0.04	0.05	0.1	0.01
92	0.74	0.0	0.0	0.0	0.03	0.0	0.0	0.01	0.09	0.03	0.0	0.03	0.01	0.0	0.0	0.01	0.05	0.0
93	0.01	0.02	0.01	0.02	0.05	0.0	0.0	0.0	0.0	0.0	0.02	0.06	0.04	0.02	0.04	0.02	0.68	0.01
94	0.12	0.01	0.04	0.0	0.09	0.03	0.0	0.02	0.01	0.01	0.11	0.03	0.29	0.01	0.02	0.12	0.06	0.03
95	0.04	0.01	0.01	0.0	0.03	0.01	0.0	0.0	0.0	0.0	0.08	0.03	0.73	0.0	0.01	0.02	0.03	0.0
96	0.07	0.04	0.06	0.02	0.08	0.0	0.01	0.02	0.03	0.05	0.02	0.04	0.03	0.0	0.04	0.04	0.43	0.02
97	0.04	0.03	0.0	0.02	0.0	0.01	0.0	0.01	0.05	0.0	0.59	0.0	0.07	0.01	0.0	0.03	0.04	0.1
98	0.01	0.05	0.01	0.04	0.34	0.15	0.0	0.09	0.02	0.03	0.02	0.08	0.01	0.04	0.02	0.04	0.01	0.04
99	0.82	0.02	0.0	0.01	0.0	0.0	0.0	0.06	0.05	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.0
